"Id","CreatedAt","IsDeleted","Name","UpdatedAt","Description"
"1","2025-09-11 12:29:54.172545+06","false","Novel","NULL","Novel"
"2","2025-09-11 12:30:08.34707+06","false","Drama","NULL","Drama"
"3","2025-09-11 12:30:15.762892+06","false","Sci-fi","NULL","Sci-fi"
"5","2025-09-11 15:25:14.453118+06","false","Technology","NULL","Technology"
"6","2025-09-11 15:26:33.501111+06","false","Health","2025-09-11 15:26:42.323149+06","Health"
"7","2025-09-11 15:26:51.062139+06","false","Lifestyle","NULL","Lifestyle"
"8","2025-09-11 15:29:15.973288+06","false","Productivity","NULL","Productivity"
"9","2025-09-11 17:23:48.683727+06","false","Self-Improvement","NULL","Self-Improvement"
"4","2025-09-11 15:25:05.920275+06","false","AI","2025-09-15 09:45:18.835147+06","AI"
